BRAND,MODEL,YEAR,KILO,LOCATION,Certificate,Warranty,PRICE
HONDA,CIVIC,2000年,14.5萬公里,高雄市/鴻成中古汽車,1,1,8.8萬
TOYOTA,ALTIS,2003年,21.1萬公里,彰化縣/廣興汽車,1,1,13.5萬
FORD,PR-Z,2003年,11.5萬公里,台中市/泰洋車業有限公司,1,1,12.8萬
MITSUBISHI,GRUNDER,2005年,19.4萬公里,台南市/文鑫汽車,1,1,12.8萬
MAZDA,TRIBUTE,2004年,12.6萬公里,彰化縣/福大汽車,1,1,12.8萬
HONDA,CITY,2000年,14.6萬公里,台中市/奕昇汽車,1,1,6.8萬
FORD,ESCAPE,2005年,21.5萬公里,嘉義縣/長億車業,1,1,9.8萬
FORD,TIERRA,2005年,11.5萬公里,新北市/欣利汽車,1,1,11.8萬
SUZUKI,SOLIO,2004年,14.1萬公里,嘉義縣/長億車業,1,1,11.8萬
BMW,520,1998年,20.9萬公里,彰化縣/福大汽車,1,1,13.8萬
TOYOTA,ALTIS,2002年,14.6萬公里,嘉義市/龍順汽車,1,1,11.6萬
MITSUBISHI,CANTER,1997年,15.6萬公里,台中市/泰洋車業有限公司,1,1,9.8萬
HYUNDAI,MATRIX,2005年,30.5萬公里,嘉義市/龍順汽車,1,1,11.0萬
FORD,MAV,2002年,19萬公里,台北市/鴻揚汽車,1,1,9.8萬
MITSUBISHI,SAVRIN,2003年,16.5萬公里,嘉義市/宇勝汽車,1,1,9.8萬
TOYOTA,ZACE,2003年,23.1萬公里,嘉義市/龍順汽車,1,1,14.0萬
VOLVO,940,1995年,39.8萬公里,高雄市/辰泰汽車,1,1,3.8萬
FORD,ESCAPE,2005年,17.1萬公里,台中市/詮豐汽車,1,1,15.0萬
FORD,ESCAPE,2003年,16.5萬公里,嘉義市/宇勝汽車,1,1,11.8萬
FORD,ECONOVAN,2007年,30.1萬公里,嘉義縣/長億車業,1,1,9.8萬
TOYOTA,ZACE,1999年,16.8萬公里,桃園市/忠泰汽車,1,1,12.8萬
SUZUKI,SOLIO,2005年,7.6萬公里,台中市/上嘉汽車,1,1,13.5萬
FORD,ESCAPE,2004年,16.5萬公里,桃園市/維京汽車,1,1,12.8萬
TOYOTA,YARIS,2007年,14萬公里,台中市/威尼斯汽車城,1,1,21.5萬
MITSUBISHI,GRUNDER,2007年,16.3萬公里,彰化縣/高通汽車,1,1,19.0萬
TOYOTA,YARIS,2007年,17.1萬公里,台中市/詮豐汽車,1,1,23.0萬
NISSAN,TIIDA,2008年,10.9萬公里,桃園市/龍億汽車,1,1,22.8萬
MAZDA,MAZDA 3,2007年,11.3萬公里,桃園市/永晉汽車,1,1,23.8萬
FORD,FOCUS,2008年,15萬公里,桃園市/永晉汽車,1,1,22.8萬
TOYOTA,YARIS,2007年,17.8萬公里,彰化縣/格上汽車,1,1,22.8萬
MITSUBISHI,VERYCA,2009年,2.9萬公里,台中市/金沙汽車,1,1,23.8萬
SUZUKI,SWIFT,2006年,17萬公里,台南市/義大汽車,1,1,22.8萬
FORD,FOCUS,2007年,6.0萬公里,高雄市/辰泰汽車,1,1,21.8萬
FORD,ACTIVA,2007年,10.7萬公里,台中市/弘宇車業,1,1,16.5萬
HYUNDAI,GETZ,2007年,13.4萬公里,台南市/成泰汽車,1,1,15.8萬
NISSAN,LIVINA,2007年,5.8萬公里,彰化縣/晟運汽車,1,1,23.8萬
TOYOTA,YARIS,2007年,6.4萬公里,台北市/鴻揚汽車,1,1,23.8萬
TOYOTA,VIOS,2009年,13.6萬公里,高雄市/好康汽車,1,1,23.8萬
MITSUBISHI,VERYCA,2011年,9.9萬公里,台中市/坦格汽車,1,1,23.8萬
TOYOTA,VIOS,2009年,14萬公里,桃園市/金品汽車,1,1,24.8萬
NISSAN,LIVINA,2008年,20.3萬公里,台中市/金沙汽車,1,1,19.8萬
SUZUKI,SWIFT,2007年,16.7萬公里,台中市/安勝汽車,1,1,23.8萬
SUZUKI,SWIFT,2006年,14.1萬公里,台中市/威尼斯汽車城,1,1,19.5萬
TOYOTA,VIOS,2007年,18.9萬公里,彰化縣/安心汽車,1,1,18.8萬
SUZUKI,SWIFT,2007年,16.6萬公里,新北市/元駿車業,1,1,21.8萬
MITSUBISHI,COLT PLUS,2011年,15.4萬公里,彰化縣/見昌汽車,1,1,23.8萬
TOYOTA,YARIS,2009年,10.2萬公里,雲林縣/上新汽車,1,1,24.8萬
TOYOTA,VIOS,2011年,14.5萬公里,台中市/威尼斯汽車城,1,1,23.5萬
MAZDA,MAZDA 3,2007年,13.3萬公里,台南市/南一汽車,1,1,22.0萬
NISSAN,TIIDA 4門,2009年,10.6萬公里,彰化縣/新永隆汽車,1,1,23.8萬
NISSAN,TIIDA 4門,2007年,16萬公里,彰化縣/見昌汽車,1,1,19.8萬
TOYOTA,VIOS,2006年,17.2萬公里,彰化縣/安心汽車,1,1,17.6萬
NISSAN,TEANA,2009年,10萬公里,高雄市/誠品汽車,1,1,23.8萬
MITSUBISHI,VERYCA,2009年,8.5萬公里,南投縣/東樺汽車,1,1,20.9萬
NISSAN,LIVINA,2008年,7.5萬公里,南投縣/東樺汽車,1,1,23.9萬
MITSUBISHI,VERYCA,2011年,18萬公里,桃園市/發達汽車,1,1,22.8萬
